City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yellowknife,62.456,-114.3525,-19.59,85,0,5.75,CA,1737316987
84,nadym,65.5333,72.5167,-4.09,98,100,18.97,RU,1737317115
85,st. paul,44.9444,-93.0933,-0.53,56,0,9.22,US,1737316862
86,metlili chaamba,32.2667,3.6333,50.94,50,0,5.75,DZ,1737317117
87,chui,-33.6971,-53.4616,73.18,73,100,18.68,UY,1737317118
88,fort st. john,56.2499,-120.8529,1.29,85,20,8.05,CA,1737317119
89,roma,43.2128,-75.4557,21.38,66,100,10.36,US,1737316936
90,pangoa,-12.1167,-73.0,86.56,54,75,4.74,PE,1737317122
91,tsiombe,-25.3,45.4833,78.3,83,73,9.31,MG,1737317123
92,baotou,40.6522,109.8222,20.88,55,0,1.25,CN,1737317124
93,kem',64.9555,34.5793,28.99,87,99,15.95,RU,1737317126
94,princesa isabel,-7.7367,-37.9933,77.02,75,100,1.86,BR,1737317127
95,zarghun shahr,32.8473,68.4457,30.49,99,100,6.69,AF,1737317128
96,flin flon,54.7682,-101.865,-22.16,63,40,18.41,CA,1737317129
97,aripuana,-9.1667,-60.6333,75.94,97,100,1.88,BR,1737317130
98,ushuaia,-54.8,-68.3,56.86,51,40,26.46,AR,1737317131
99,nuuk,64.1835,-51.7216,34.41,55,100,32.21,GL,1737317132
100,tolanaro,-25.0319,46.9987,80.67,78,20,16.11,MG,1737317133
101,petropavlovsk-kamchatsky,53.0452,158.6483,5.59,66,75,11.18,RU,1737317134
102,lompoc,34.6391,-120.4579,55.29,70,20,10.36,US,1737317135
103,adrar,20.5022,-10.0711,64.51,34,0,9.46,MR,1737317136
104,rouissat,31.9243,5.3502,53.91,54,0,3.15,DZ,1737317139
105,carlow,52.8408,-6.9261,46.98,92,100,6.53,IE,1737317140
106,okha,53.5739,142.9478,-1.46,90,50,11.39,RU,1737317141
107,rusera,25.75,86.0333,52.21,47,0,6.98,IN,1737317142
108,kasongo,-4.45,26.6667,68.58,97,100,3.27,CD,1737317143
109,qaqortoq,60.7167,-46.0333,22.89,84,100,6.2,GL,1737317144
110,extrema,-22.8547,-46.3183,76.33,85,98,3.58,BR,1737316897
111,caleta de carquin,-11.0925,-77.6267,74.52,73,90,10.27,PE,1737317146
112,toba tek singh,30.9743,72.4827,52.29,30,9,4.92,PK,1737317147
113,parang,7.3704,124.2697,73.9,95,47,3.13,PH,1737317150
114,tura,25.5198,90.2201,55.78,59,0,2.8,IN,1737317151
115,roswell,34.0232,-84.3616,38.5,81,100,14.97,US,1737316869
116,ash shatrah,31.4117,46.1742,53.8,36,0,7.38,IQ,1737317153
117,sao vicente,-23.9631,-46.3919,85.96,26,0,8.05,BR,1737316930
118,okhotsk,59.3833,143.3,-18.13,84,1,8.97,RU,1737317155
119,afaahiti,-17.75,-149.2833,79.23,74,53,15.19,PF,1737317156
120,talara,-4.5772,-81.2719,84.96,51,0,18.41,PE,1737317159
121,fort bragg,35.139,-79.006,57.81,92,100,8.05,US,1737317162
122,santa ana de yacuma,-13.75,-65.4333,78.75,89,75,0.0,BO,1737317163
123,isola di capo rizzuto,38.96,17.0933,55.49,78,100,1.05,IT,1737317164
124,cadale,2.7603,46.3222,75.85,78,96,20.71,SO,1737317165
125,gilgit,35.9221,74.3087,30.87,89,99,1.48,PK,1737317166
126,abepura,-2.6333,140.5833,76.01,94,20,2.3,ID,1737317167
127,margaret river,-33.95,115.0667,68.45,62,0,6.55,AU,1737317168
128,palopo,-2.9996,120.1921,76.28,85,100,2.55,ID,1737317169
129,bodaybo,57.8506,114.1933,6.44,95,100,4.94,RU,1737317170
130,dapa,9.7594,126.0531,79.2,82,67,3.58,PH,1737317172
131,flying fish cove,-10.4217,105.6791,74.88,94,100,11.5,CX,1737317173
132,nizhnedevitsk,51.5419,38.3657,29.3,91,8,10.13,RU,1737317175
133,evinayong,1.4368,10.5512,68.25,95,78,2.86,GQ,1737317176
134,kerikeri,-35.2268,173.9474,65.91,95,100,10.0,NZ,1737317177
135,lianjiang,21.6467,110.2817,57.51,67,3,3.62,CN,1737317178
136,tabriz,38.08,46.2919,33.26,64,75,11.5,IR,1737316932
137,rebrikha,53.0733,82.3408,20.12,94,93,11.05,RU,1737317182
138,bel ombre,-4.6167,55.4167,80.44,100,40,2.3,SC,1737317183
139,suva,-18.1416,178.4415,81.88,89,40,2.3,FJ,1737317185
140,cedeira,43.6797,-8.0209,48.97,100,100,14.43,ES,1737317186
141,enewetak,11.3474,162.3373,80.38,80,43,24.23,MH,1737317187
142,east london,-33.0153,27.9116,73.8,85,100,11.05,ZA,1737317188
143,barah,13.7,30.3667,76.35,25,10,11.83,SD,1737317189
144,dourdan,48.5277,2.0111,32.65,92,8,2.19,FR,1737317190
145,thompson,55.7435,-97.8558,-25.44,62,75,8.05,CA,1737317191
146,mukalla,14.5425,49.1242,69.89,76,79,3.91,YE,1737316993
147,alappuzha,9.49,76.3264,76.5,86,80,4.92,IN,1737317194
148,alotau,-10.3069,150.4462,77.94,90,14,5.06,PG,1737317196
149,vadso,70.0744,29.7487,15.96,73,20,28.77,NO,1737317197
150,sandnessjoen,66.0217,12.6316,33.91,60,40,11.5,NO,1737317198
151,gadzhiyevo,69.2551,33.3362,20.41,63,74,35.81,RU,1737317199
152,isangel,-19.55,169.2667,81.32,74,98,7.78,VU,1737317200
153,papao,-17.75,-149.55,85.68,70,25,16.26,PF,1737317201
154,ostersund,63.1792,14.6357,36.05,82,75,5.75,SE,1737317202
155,codrington,-38.2667,141.9667,65.01,82,100,3.27,AU,1737317203
156,shalkar,47.8288,59.6258,26.74,98,100,7.16,KZ,1737317204
157,dolores,-36.3132,-57.6792,78.28,39,100,17.49,AR,1737316982
158,colares,38.7992,-9.4469,57.33,79,100,22.1,PT,1737317206
159,hithadhoo,-0.6,73.0833,82.47,76,23,14.72,MV,1737317207
160,batesville,35.7698,-91.641,28.81,38,0,11.5,US,1737317208
161,colonia,50.9333,6.95,30.45,92,100,3.44,DE,1737317109
162,greymouth,-42.4667,171.2,62.91,61,0,4.92,NZ,1737317211
163,youkounkoun,12.5333,-13.1333,81.99,15,16,5.64,GN,1737317212
164,cifteler,39.3831,31.0392,38.44,68,0,8.59,TR,1737317213
165,caribou,46.8606,-68.012,24.98,84,75,11.5,US,1737317214
166,naze,28.3667,129.4833,58.12,81,88,8.57,JP,1737317014
167,camana,-16.6228,-72.7111,73.9,71,7,8.43,PE,1737317216
168,aldinga beach,-35.2793,138.4604,74.08,58,100,7.49,AU,1737317217
169,nizhneangarsk,55.7833,109.55,9.52,80,100,2.82,RU,1737317219
170,la ronge,55.1001,-105.2842,-13.5,81,75,13.09,CA,1737317220
171,zapolyarnyy,69.4154,30.8136,14.88,65,80,27.29,RU,1737317221
172,stanley,54.868,-1.6985,32.02,90,75,3.44,GB,1737317222
173,hasaki,35.7333,140.8333,47.64,84,92,8.88,JP,1737317223
174,muriti,-1.9833,32.9167,73.63,72,53,10.33,TZ,1737317224
175,utrik,11.2278,169.8474,79.7,79,55,21.7,MH,1737317225
176,kosong,38.3788,128.4676,34.05,74,0,6.6,KR,1737317226
177,roses,42.262,3.1769,47.41,83,100,4.79,ES,1737317227
178,olonkinbyen,70.9221,-8.7187,16.03,58,100,15.41,SJ,1737317228
179,swift current,50.2834,-107.8014,-15.79,76,100,21.85,CA,1737317151
180,sumbawa besar,-8.5,117.4333,75.36,98,100,1.36,ID,1737317231
181,hadibu,12.65,54.0333,72.34,72,97,10.0,YE,1737317232
182,waddan,29.1614,16.139,59.85,60,48,8.1,LY,1737317233
183,murzuq,25.9155,13.9184,64.45,27,100,3.62,LY,1737317234
